Pergeseran ke,Periode,Nilai,Tanggal
67,3M,"Rp1,459.30",26 Nov 24
67,1M,"Rp1,467.76",6 Jan 25
67,3Y,"Rp1,336.55",20 Feb 23
67,YTD,"Rp1,468.34",8 Jan 25
70,5Y,"Rp1,285.71",7 Des 21
68,3M,"Rp1,459.72",28 Nov 24
68,ALL,"Rp1,187.62",7 Feb 20
68,1M,"Rp1,467.76",6 Jan 25
68,3Y,"Rp1,337.62",27 Feb 23
68,YTD,"Rp1,468.66",10 Jan 25
71,5Y,"Rp1,286.78",17 Des 21
69,3M,"Rp1,459.72",28 Nov 24
69,ALL,"Rp1,190.84",24 Feb 20
69,1M,"Rp1,467.76",6 Jan 25
69,3Y,"Rp1,339.17",6 Mar 23
69,YTD,"Rp1,468.66",10 Jan 25
72,5Y,"Rp1,287.97",28 Des 21
70,ALL,"Rp1,193.83",11 Mar 20
70,3M,"Rp1,459.72",28 Nov 24
70,1M,"Rp1,467.76",6 Jan 25
70,3Y,"Rp1,339.70",10 Mar 23
70,YTD,"Rp1,468.66",10 Jan 25
73,5Y,"Rp1,289.08",7 Jan 22
71,ALL,"Rp1,196.78",27 Mar 20
71,3M,"Rp1,459.72",28 Nov 24
71,1M,"Rp1,467.76",6 Jan 25
71,3Y,"Rp1,340.66",16 Mar 23
71,YTD,"Rp1,468.66",10 Jan 25
74,5Y,"Rp1,290.26",18 Jan 22
72,ALL,"Rp1,199.94",13 Apr 20
72,3M,"Rp1,459.94",29 Nov 24
72,1M,"Rp1,467.76",6 Jan 25
72,3Y,"Rp1,341.96",24 Mar 23
72,YTD,"Rp1,468.66",10 Jan 25
75,5Y,"Rp1,291.33",28 Jan 22
73,ALL,"Rp1,202.80",29 Apr 20
73,3M,"Rp1,459.94",29 Nov 24
73,1M,"Rp1,467.76",6 Jan 25
73,3Y,"Rp1,342.84",29 Mar 23
73,YTD,"Rp1,468.66",10 Jan 25
76,5Y,"Rp1,292.51",8 Feb 22
74,ALL,"Rp1,205.84",15 Mei 20
74,3M,"Rp1,460.60",2 Des 24
74,1M,"Rp1,467.76",6 Jan 25
74,3Y,"Rp1,343.62",4 Apr 23
74,YTD,"Rp1,468.66",10 Jan 25
77,5Y,"Rp1,293.60",18 Feb 22
75,3M,"Rp1,460.60",2 Des 24
75,ALL,"Rp1,209.16",2 Jun 20
75,1M,"Rp1,467.76",6 Jan 25
75,3Y,"Rp1,344.56",10 Apr 23
75,YTD,"Rp1,468.66",10 Jan 25
78,5Y,"Rp1,294.81",1 Mar 22
76,ALL,"Rp1,211.93",17 Jun 20
76,3M,"Rp1,460.60",2 Des 24
76,1M,"Rp1,467.76",6 Jan 25
76,3Y,"Rp1,347.97",17 Apr 23
76,YTD,"Rp1,468.66",10 Jan 25
79,5Y,"Rp1,295.33",11 Mar 22
77,ALL,"Rp1,214.75",3 Jul 20
77,3M,"Rp1,460.60",2 Des 24
77,1M,"Rp1,467.76",6 Jan 25
77,3Y,"Rp1,349.73",27 Apr 23
77,YTD,"Rp1,468.66",10 Jan 25
