Date,Open,High,Low,Close,Adj Close,Volume
2024-03-22,992.41,997.24,990.58,996.74,996.74,"3,742,300,000"
2024-03-21,999.38,"1,003.94",994.77,994.77,994.77,"4,537,900,000"
2024-03-20,989.97,995.32,988.12,992.93,992.93,"7,896,100,000"
2024-03-19,997.57,"1,004.03",996.14,997.15,997.15,"4,854,200,000"
2024-03-18,999.66,"1,004.74",993.60,993.60,993.60,"6,770,300,000"
2024-03-15,"1,006.20","1,007.87",991.01,997.47,997.47,"14,420,900,000"
2024-03-14,"1,000.05","1,011.60",998.61,"1,011.60","1,011.60","4,937,900,000"
2024-03-13,"1,009.18","1,009.61",999.94,"1,003.48","1,003.48","4,411,100,000"
2024-03-08,"1,001.92","1,004.80",998.78,"1,000.35","1,000.35","3,505,800,000"
2024-03-07,996.01,"1,000.61",993.85,996.56,996.56,"8,526,000,000"
2024-03-06,980.88,995.04,980.61,994.06,994.06,"8,782,400,000"
2024-03-05,986.29,987.73,979.30,979.88,979.88,"3,842,800,000"
2024-03-04,989.42,990.45,979.79,981.95,981.95,"7,058,700,000"
2024-03-01,990.48,992.88,981.24,987.90,987.90,"4,129,200,000"
2024-02-29,996.85,998.06,986.28,989.93,989.93,"9,351,400,000"
2024-02-28,994.16,999.31,990.87,997.25,997.25,"9,811,200,000"
2024-02-27,987.25,994.74,985.39,992.69,992.69,"6,094,500,000"
2024-02-26,990.33,994.28,986.72,991.60,991.60,"3,430,700,000"
2024-02-23,999.65,"1,001.65",988.87,994.16,994.16,"3,973,900,000"
2024-02-22,"1,005.33","1,008.34","1,000.13","1,002.51","1,002.51","3,462,200,000"
2024-02-21,"1,009.39","1,012.28",997.44,"1,008.41","1,008.41","5,255,800,000"
2024-02-20,"1,003.57","1,010.87","1,001.90","1,010.87","1,010.87","3,993,500,000"
2024-02-19,"1,003.95","1,007.81",996.23,998.29,998.29,"5,139,800,000"
2024-02-16,"1,010.89","1,014.63","1,002.36","1,006.63","1,006.63","4,434,000,000"
2024-02-15,"1,016.24","1,017.38","1,003.32","1,003.32","1,003.32","5,875,800,000"
2024-02-13,996.03,997.00,986.28,988.17,988.17,"3,461,900,000"
2024-02-12,990.41,996.87,987.57,995.17,995.17,"7,217,700,000"
2024-02-07,984.48,986.94,981.41,983.14,983.14,"2,807,700,000"
2024-02-06,982.38,984.71,978.51,980.62,980.62,"5,505,600,000"
2024-02-05,984.36,985.44,975.49,975.49,975.49,"5,345,400,000"
