Date,Open,High,Low,Close,Adj Close,Volume
1998-05-14,402.06,412.52,400.93,403.70,403.68,"2,699,000"
1998-05-15,403.70,406.16,403.70,405.94,405.92,"14,500"
1998-05-18,405.66,405.66,384.10,388.92,388.90,"1,277,200"
1998-05-19,388.90,414.18,387.01,413.82,413.81,"996,200"
1998-05-20,413.82,424.56,412.50,424.01,423.99,"167,200"
1998-05-22,426.32,445.14,426.32,445.14,445.13,"1,996,800"
1998-05-25,445.43,448.21,435.55,439.55,439.54,"2,601,700"
1998-05-26,439.62,440.76,430.00,434.06,434.04,"2,158,400"
1998-05-27,433.86,433.86,412.19,416.97,416.95,"2,501,000"
1998-05-28,416.38,417.81,407.98,414.22,414.20,"1,780,600"
1998-05-29,417.53,421.28,416.03,420.46,420.45,"3,133,600"
1998-06-01,420.23,420.23,409.53,414.08,414.06,"3,072,300"
1998-06-02,414.08,414.28,396.33,399.60,399.58,"1,484,800"
1998-06-03,399.43,400.03,384.71,392.61,392.59,"2,901,500"
1998-06-04,393.35,406.33,389.77,406.33,406.32,"4,362,800"
1998-06-05,407.79,415.73,405.59,409.52,409.50,"4,901,400"
1998-06-08,413.46,413.46,405.14,409.42,409.40,"1,904,100"
1998-06-09,409.65,411.07,405.82,411.07,411.06,"1,772,000"
1998-06-10,411.13,412.58,404.38,408.08,408.06,"2,507,200"
1998-06-11,411.48,411.76,403.13,411.54,411.53,"2,443,200"
1998-06-12,411.33,416.39,407.29,408.37,408.36,"2,961,600"
1998-06-15,407.60,413.38,401.64,406.50,406.49,"2,477,600"
1998-06-16,406.50,406.50,396.84,399.51,399.50,"1,955,800"
1998-06-17,399.54,419.44,399.54,419.44,419.43,"2,488,300"
1998-06-18,419.80,440.09,419.80,440.09,440.08,"3,052,100"
1998-06-19,440.40,441.02,421.56,425.45,425.44,"1,984,800"
1998-06-22,425.45,426.46,417.36,420.66,420.64,"1,575,600"
1998-06-23,420.59,425.02,419.90,423.08,423.07,"1,616,900"
1998-06-24,423.14,431.52,422.92,430.96,430.94,"1,975,700"
1998-06-25,433.18,433.41,426.76,428.81,428.79,"1,888,200"
1998-06-26,429.12,433.29,427.04,430.87,430.85,"2,092,100"
1998-06-29,430.87,432.45,426.60,431.23,431.21,"1,891,700"
1998-06-30,431.71,445.92,427.02,445.92,445.90,"2,921,500"
1998-07-01,445.16,457.21,441.81,456.54,456.52,"4,130,800"
1998-07-02,458.47,466.37,458.47,466.37,466.35,"4,385,700"
1998-07-03,466.42,470.55,457.52,470.55,470.53,"3,680,500"
1998-07-07,470.76,490.63,470.76,483.95,483.93,"4,120,400"
1998-07-08,484.19,486.66,472.27,472.98,472.96,"2,240,300"
1998-07-09,472.87,474.02,468.57,470.32,470.30,"2,152,200"
